Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹45.0 L,,₹5.0 K/sq.ft,South-west,None sq.ft,
,Signature Global City 92 Phase 2RERA,₹86.0 L - 1.38 Cr,"2, 3 BHK Flats for sale in Sector 92",₹8.98 K/sq.ft,,959.0 sq.ft,"Aug, 2026"
,Metroview By S gambhir Buildtech Dwarka MorRERA,₹24.0 L - 40.0 L,"2, 3 BHK Builder Floors for sale in Dwarka Mor",₹4.62 K/sq.ft,,None sq.ft,"Nov, 2022"
,RP Luxury Floors,₹28 L - 60 L,"2, 3, 4 BHK Apartments for sale in Dwarka Mor",₹None K/sq.ft,,None sq.ft,"Sep, 2023"
Shree Hari Homes III,3 BHK Flat for sale in Dwarka Mor,₹70.0 L,,₹6.36 K/sq.ft,,None sq.ft,
,RP Luxury Floors,₹28 L - 60 L,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,630.0 sq.ft,"Sep, 2023"
,The Ghar By G3 Buildtech Dwarka Mor3,₹25 L - 75 L,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Jan, 2023"
Planner N Maker Affordable Floors,2 BHK Flat for sale in Dwarka Mor,₹28.0 L,,₹4.31 K/sq.ft,,None sq.ft,
,"1 BHK Independent Builder Floor for sale in Featured Properties, Dwarka Mor",₹18.0 L,,₹4.5 K/sq.ft,,None sq.ft,
G3,"4 BHK Apartment for sale in Featured Properties, Dwarka Mor",₹65.0 L,,₹None K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹35.0 L,,₹3.89 K/sq.ft,North-east,None sq.ft,
Satya Sai Homes,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
Khatu Shhyam Luxury Homes,3 BHK Flat for sale in Dwarka Mor,₹53.0 L,,₹5.89 K/sq.ft,,None sq.ft,
The Apna Ghar,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.82 K/sq.ft,,None sq.ft,
The Ghar,4 BHK Flat for sale in Dwarka Mor,₹64.0 L,,₹5.33 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹65.0 L,,₹5.42 K/sq.ft,North,None sq.ft,
Kaanha Homes 2,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹34.0 L,,₹4.53 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹38.0 L,,₹4.69 K/sq.ft,South-west,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹33.0 L,,₹5.5 K/sq.ft,North,None sq.ft,
,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹19.8 L,,₹4.95 K/sq.ft,South-west,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹53.0 L,,₹6.24 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹32.0 L,,₹5.33 K/sq.ft,North-east,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹44.0 L,,₹4.89 K/sq.ft,North,None sq.ft,
